Feature,Missing %,Skewness,Mean,Median,Std,Min,Max
AMT_INCOME_TOTAL,0.0,391.56,168797.919,147150.0,237123.146,25650.0,117000000.0
BUR_AVG_DAYS_OVERDUE,14.31,52.964,1.036,0.0,25.825,0.0,2776.0
BUR_TOTAL_DEBT,16.71,38.582,659059.531,184500.0,1653606.38,-6981558.41,334498323.219
INST_AVG_PAYMENT_DELAY,5.16,25.888,-11.202,-9.542,13.149,-295.0,1884.205
INST_MAX_DAYS_PAST_DUE,5.16,13.11,16.231,1.0,111.096,-156.0,2884.0
INST_RATIO_LATE,5.16,2.167,0.076,0.019,0.116,0.0,1.0
EMPLOYED_YEARS,18.01,1.968,6.532,4.515,6.406,0.0,49.074
RATIO_DEBT_TO_INCOME,0.0,1.836,3.958,3.265,2.69,0.005,84.737
BUR_TOTAL_LOANS,14.31,1.824,5.561,4.0,4.378,1.0,116.0
AMT_ANNUITY,0.0,1.58,27108.574,24903.0,14493.737,1615.5,258025.5
RATIO_ANNUITY_TO_INCOME,0.0,1.512,0.181,0.163,0.095,0.0,1.876
AMT_CREDIT,0.0,1.235,599026.0,513531.0,402490.777,45000.0,4050000.0
CC_AVG_UTILIZATION,72.02,0.557,0.327,0.253,0.325,-0.085,2.139
AGE_YEARS,0.0,0.116,43.937,43.151,11.956,20.518,69.121
EXT_SOURCE_1,56.38,-0.069,0.502,0.506,0.211,0.015,0.963
EXT_SOURCE_3,19.83,-0.409,0.511,0.535,0.195,0.001,0.896
EXT_SOURCE_2,0.21,-0.794,0.514,0.566,0.191,0.0,0.855
